ngram,total_count,up_count,down_count,polarity_score,polarity
수입/NNG;증대/NNG,31,11,17,0.6470588235294118,Dovish
실적/NNG;높/VV,20,4,9,0.4444444444444444,Dovish
폐기/NNG,904,303,406,0.7463054187192119,Dovish
삭제/NNG,1975,675,905,0.7458563535911602,Dovish
커뮤니케이션/NNG,938,306,432,0.7083333333333334,Dovish
전망/NNG;실망/NNG,26,7,15,0.4666666666666667,Dovish
대출심사/NNG,976,324,457,0.7089715536105032,Dovish
대출심사/NNG;강화/NNG,173,55,84,0.6547619047619048,Dovish
경수/NNG,384,130,181,0.7182320441988951,Dovish
빅/NNG,2166,753,981,0.7675840978593272,Dovish
어정쩡/NNG,89,30,46,0.6521739130434783,Dovish
인하/NNG,111561,38267,53500,0.7152710280373832,Dovish
금리/NNG;인하/NNG,15318,4491,7823,0.5740764412629427,Dovish
여/VV,505,157,219,0.7168949771689498,Dovish
후폭풍/NNG,1323,460,632,0.7278481012658228,Dovish
msci/NNG,2362,717,997,0.7191574724172518,Dovish
배당주/NNG,1760,588,870,0.6758620689655173,Dovish
경기방어주/NNG,367,114,193,0.5906735751295337,Dovish
소비/NNG;지표/NNG;부진/NNG,65,14,33,0.42424242424242425,Dovish
고배/NNG,582,185,281,0.6583629893238434,Dovish
채권펀드/NNG;플러스/NNG,27,9,14,0.6428571428571429,Dovish
발안/NNG,15,1,13,0.07692307692307693,Dovish
분양대금/NNG,118,39,51,0.7647058823529411,Dovish
관리권/NNG,16,5,9,0.5555555555555556,Dovish
실수요자/NNG,1855,589,878,0.6708428246013668,Dovish
fed/NNG;금리/NNG;인상/NNG,10495,3401,4425,0.7685875706214689,Dovish
달러원/NNG;높/VA,51,14,29,0.4827586206896552,Dovish
불황/NNG,4764,1597,2275,0.701978021978022,Dovish
불황국면/NNG,208,72,99,0.7272727272727273,Dovish
의료진/NNG,83,16,56,0.2857142857142857,Dovish
소용돌이/NNG,244,88,124,0.7096774193548387,Dovish
아침/NNG,2344,822,1081,0.7604070305272895,Dovish
침체/NNG,25615,9385,12347,0.7601036689074269,Dovish
서막/NNG,106,39,51,0.7647058823529411,Dovish
작/VA;증가/NNG,55,13,33,0.3939393939393939,Dovish
낭자/NNG,19,7,10,0.7,Dovish
상처/NNG,409,151,202,0.7475247524752475,Dovish
점할/VV,188,56,75,0.7466666666666667,Dovish
경색/NNG,2558,862,1393,0.618808327351041,Dovish
악영향/NNG;우려/NNG,87,29,39,0.7435897435897436,Dovish
g7/NNG,1306,390,639,0.6103286384976526,Dovish
금값/NNG,4213,1456,1935,0.7524547803617571,Dovish
일으켰/VV,400,138,186,0.7419354838709677,Dovish
고점/NNG;낮/VA,45,13,25,0.52,Dovish
추락/NNG,8436,3000,3968,0.7560483870967742,Dovish
가담/NNG,697,231,328,0.7042682926829268,Dovish
단기/NNG;금리/NNG;인하/NNG,114,34,53,0.6415094339622641,Dovish
시중/NNG;금리/NNG;내리/VV,19,3,14,0.21428571428571427,Dovish
하락/NNG;넘/VV,62,18,30,0.6,Dovish
머니매니저/NNG,273,65,133,0.48872180451127817,Dovish
답했/VV,523,151,235,0.6425531914893617,Dovish
aa-등급/NNG,1782,569,749,0.7596795727636849,Dovish
투표/NNG,4950,1602,2326,0.6887360275150473,Dovish
opec/NNG,7687,2473,3637,0.6799560076986527,Dovish
해선/XSV,446,149,194,0.7680412371134021,Dovish
탐/NNG,151,47,65,0.7230769230769231,Dovish
비둘기/NNG,10041,3234,4415,0.7325028312570782,Dovish
서로/NNG,341,118,159,0.7421383647798742,Dovish
fed/NNG;매파/NNG;비둘기/NNG,33,7,15,0.4666666666666667,Dovish
fed/NNG;경제/NNG;낙관/NNG,18,6,8,0.75,Dovish
딜러/NNG,15672,5005,6537,0.7656417316811993,Dovish
합리/NNG,1377,457,595,0.7680672268907563,Dovish
부동산/NNG;가격/NNG;급등/NNG,294,102,140,0.7285714285714285,Dovish
휘말리/VV,93,30,45,0.6666666666666666,Dovish
저서/NNG,144,50,67,0.746268656716418,Dovish
수출입은행/NNG,2112,769,1020,0.753921568627451,Dovish
미주개발은행/NNG,58,15,30,0.5,Dovish
금융지원/NNG;강화/NNG,159,39,85,0.4588235294117647,Dovish
취약계층/NNG,1580,513,731,0.7017783857729138,Dovish
신용불량자/NNG,387,131,200,0.655,Dovish
특정지역/NNG,224,79,103,0.7669902912621359,Dovish
미국발/NNG,2927,994,1472,0.6752717391304348,Dovish
각국/NNG,7998,2861,3733,0.7664077149745513,Dovish
줄/NNG,963,318,455,0.6989010989010989,Dovish
기업/NNG;실적/NNG;나쁘/VA,21,7,12,0.5833333333333334,Dovish
부양/NNG;효과/NNG,714,252,329,0.7659574468085106,Dovish
불안/NNG;크/VV,879,295,398,0.7412060301507538,Dovish
풀/VV,8199,2859,3825,0.7474509803921568,Dovish
체이스/NNG,762,248,345,0.7188405797101449,Dovish
봤으나/VV,76,25,34,0.7352941176470589,Dovish
침체/NNG;빠지/VV,363,125,166,0.7530120481927711,Dovish
누리/NNG,473,112,218,0.5137614678899083,Dovish
커뮤니티/NNG,267,74,117,0.6324786324786325,Dovish
탑재/NNG,313,98,147,0.6666666666666666,Dovish
동아리/NNG,37,12,18,0.6666666666666666,Dovish
명세/NNG,27,9,12,0.75,Dovish
외압/NNG,174,56,73,0.7671232876712328,Dovish
외화/NNG,6711,2455,3214,0.7638456751711263,Dovish
무역/NNG;흑자/NNG;감소/NNG,38,14,20,0.7,Dovish
수출/NNG;둔화/NNG,514,190,249,0.7630522088353414,Dovish
뚫릴/VV,57,18,28,0.6428571428571429,Dovish
공포/NNG,5543,1951,2686,0.7263588979895755,Dovish
펜/NNG,230,67,103,0.6504854368932039,Dovish
퍼/VV,286,88,133,0.6616541353383458,Dovish
처지/NNG,818,272,380,0.7157894736842105,Dovish
뛰어나/VV,50,15,28,0.5357142857142857,Dovish
바란다고/VV,573,188,258,0.7286821705426356,Dovish
뒤졌/VV,36,9,19,0.47368421052631576,Dovish
아끼/VV,764,257,368,0.6983695652173914,Dovish
고용/NNG;지표/NNG;호조/NNG,1101,334,441,0.7573696145124716,Dovish
공장/NNG;주문/NNG;늘/VV,15,6,9,0.6666666666666666,Dovish
조우/NNG,33,11,16,0.6875,Dovish
담길/VV,303,106,139,0.762589928057554,Dovish
짓/NNG,155,52,71,0.7323943661971831,Dovish
신축/NNG,1761,423,734,0.5762942779291553,Dovish
대동소이/NNG,66,18,31,0.5806451612903226,Dovish
풍기/VV,62,23,31,0.7419354838709677,Dovish
가릴/VV,123,35,61,0.5737704918032787,Dovish
팔리/VV,731,261,350,0.7457142857142857,Dovish
예금이자/NNG,210,75,100,0.75,Dovish
판매가격/NNG;중단/NNG,32,12,17,0.7058823529411765,Dovish
편성/NNG,4355,1312,2215,0.5923250564334086,Dovish
등한시/NNG,58,18,30,0.6,Dovish
장바구니/NNG,154,53,71,0.7464788732394366,Dovish
부동산/NNG;문제/NNG;심각/NNG,21,5,15,0.3333333333333333,Dovish
비차익/NNG,1042,346,462,0.7489177489177489,Dovish
전기가스업/NNG,744,228,327,0.6972477064220184,Dovish
가격제한폭/NNG,712,220,347,0.6340057636887608,Dovish
실적/NNG;부진/NNG;하락/NNG,43,12,16,0.75,Dovish
경제/NNG;장기/NNG;침체/NNG,43,15,23,0.6521739130434783,Dovish
위축/NNG;효과/NNG,31,12,16,0.75,Dovish
퍼진/VV,223,63,105,0.6,Dovish
화석화/NNG,46,19,26,0.7307692307692307,Dovish
예상/NNG;충족/NNG,50,16,28,0.5714285714285714,Dovish
비쳐질/VV,24,9,12,0.75,Dovish
