up_count,down_count,ngram,total_count,polar_score,polarity
39641,78645, 인하/NNG,118286,0.7318940877876972,Dovish
12,23, 개입설/NNG,35,0.7575794126291744,Dovish
5,12, 당분간/MAG;금리/NNG;하락/NNG,17,0.6050113364746877,Dovish
10395,28784, 금리/NNG;인하/NNG,39179,0.5243823937732947,Dovish
22,43, 교체수요/NNG,65,0.7428976410665934,Dovish
73,167, 심리/NNG;살/VV,240,0.6347184799423073,Dovish
974,2261, 초저금리/NNG,3235,0.6255084034246927,Dovish
39,92, 모노라인/NNG,131,0.6155332727612042,Dovish
13,28, 유럽투자은행/NNG,41,0.6741554892146522,Dovish
20,41, 비용/NNG;부담/NNG;완화/NNG,61,0.7083059548971955,Dovish
75,161, 인플레이션/NNG;둔화/NNG,236,0.6764101898474771,Dovish
120,238, 내수/NNG;위축/NNG,358,0.7321145584231517,Dovish
37,80, 성장/NNG;안정/NNG,117,0.6715625834869035,Dovish
401,1149, 인하/NNG;효과/NNG,1550,0.5067562316999474,Dovish
1759,4588, 금리/NNG;내리/VV,6347,0.5566948252095776,Dovish
538,1122, 금리/NNG;떨어/VV,1660,0.696248340156967,Dovish
572,1099, 걷/VV,1671,0.7557411853616482,Dovish
98,188, 만찬/NNG,286,0.7569077996747159,Dovish
830,1600, 회동/NNG,2430,0.7532391139109864,Dovish
1490,3335, 공조/NNG,4825,0.6487317958721092,Dovish
14,68, 국채/NNG;가격/NNG;상승/NNG;확대/NNG,82,0.2989467780227869,Dovish
178,402, 좁혀진/VV,580,0.642937420253698,Dovish
10,29, 강하/VA;상승/NNG;압력/NNG,39,0.5006990370825003,Dovish
6,12, 대내균형/NNG,18,0.7260136037696254,Dovish
3,16, 경제/NNG;충격/NNG;주/VV;않/VX,19,0.27225510141360953,Dovish
23,150, 실물/NNG;경기/NNG;침체/NNG,173,0.22264417182268512,Dovish
71,141, 이미/MAG;금리/NNG;인하/NNG,212,0.7311626364204739,Dovish
46,88, 의아/NNG,134,0.7590142221227901,Dovish
2495,4893, 디플레이션/NNG,7388,0.7404062707562703,Dovish
51,107, 누그러진/VV,158,0.6920877344345961,Dovish
20,45, 미/NNG;금리/NNG;오르/VV,65,0.6453454255730003,Dovish
109,225, 디플레이션/NNG;위험/NNG,334,0.7034265138745703,Dovish
1549,3273, 경기/NNG;침체/NNG,4822,0.6871952778729908,Dovish
5,16, 비용/NNG;확대/NNG,21,0.4537585023560159,Dovish
523,1113, 롤오버/NNG,1636,0.6823092808113461,Dovish
31,127, 원월물/NNG,158,0.35443183806076206,Dovish
355,722, 거래자/NNG,1077,0.7139468956737314,Dovish
14,28, 포지/NNG,42,0.7260136037696254,Dovish
54,108, 국채선물/NNG;가격/NNG;상승/NNG,162,0.7260136037696253,Dovish
446,877, fed/NNG;매파/NNG,1323,0.7384311682582735,Dovish
1570,3422, 감산/NNG,4992,0.6661843120504453,Dovish
26,54, 심리/NNG;약하/VA,80,0.6991242110374171,Dovish
62,153, 퍼진/VV,215,0.5884031821400886,Dovish
57,141, 심리/NNG;악화/NNG,198,0.5869897221967184,Dovish
83,167, 경제운용방향/NNG,250,0.7216662169207055,Dovish
5,14, 위험자산/NNG;비중/NNG;줄/VV,19,0.5185811455497324,Dovish
933,1833, 역전폭/NNG,2766,0.7390842251140868,Dovish
33,65, 다듬/VV,98,0.7371830438276197,Dovish
243,494, 폐기/NNG,737,0.7142562984454209,Dovish
57,117, 명백히/MAG,174,0.707397870339635,Dovish
7,16, 경제원리/NNG,23,0.6352619032984222,Dovish
32,72, 퇴장/NNG,104,0.6453454255730003,Dovish
62,190, 화살/NNG,252,0.47381940456543975,Dovish
122,313, 내심/NNG,435,0.5659658764210499,Dovish
6,20, 해국/NNG,26,0.43560816226177523,Dovish
15,56, 백약/NNG,71,0.38893585916229934,Dovish
124,274, 무효/NNG,398,0.6571218019520697,Dovish
18,36, 오차/NNG,54,0.7260136037696254,Dovish
49,110, 쓴다/VV,159,0.6468121197220299,Dovish
279,534, 짚/VV,813,0.7586434286581478,Dovish
42,92, 했으니/XSV,134,0.6628819860505275,Dovish
30,66, 고금리정책/NNG,96,0.6600123670632958,Dovish
26,51, 갇히/VV,77,0.7402491646278533,Dovish
777,1634, 상가/NNG,2411,0.690468262091798,Dovish
3,14, 초시/NNG,17,0.3111486873298395,Dovish
131,277, 서면/NNG,408,0.6866987876810176,Dovish
76,157, fed/NNG;통화/NNG;긴축/NNG,233,0.7028921514202743,Dovish
5359,11625, fed/NNG;금리/NNG;인상/NNG,16984,0.6693689294798146,Dovish
670,1329, fed/NNG;금리/NNG;오르/VV,1999,0.7320227457120376,Dovish
25,89, 실물/NNG;경제/NNG;위축/NNG,114,0.4078728111065311,Dovish
21,43, 실물/NNG;경기/NNG;둔화/NNG,64,0.7091295664726573,Dovish
10,33, 내수/NNG;경기/NNG;위축/NNG,43,0.44000824470886385,Dovish
9,19, 금리/NNG;상승/NNG;멈추/VV,28,0.687802361465961,Dovish
7,17, 인플레이션/NNG;충격/NNG,24,0.5978935560455738,Dovish
20,55, 부동산/NNG;위험/NNG,75,0.5280098936506367,Dovish
780,1551, 통화/NNG;완화/NNG,2331,0.730226448665774,Dovish
83,163, 전망/NNG;어둡/VA,246,0.7393758173359375,Dovish
1156,2231, 금리/NNG;낮/VA,3387,0.7523726812708983,Dovish
306,606, 불안/NNG;크/VV,912,0.7332018572722949,Dovish
46,120, 답변서/NNG,166,0.5566104295567127,Dovish
2449,4749, 풀/VV,7198,0.7487922996975417,Dovish
238,488, 강달러/NNG,726,0.7081608102343068,Dovish
4,23, 고마운/VA,27,0.2525264708763914,Dovish
318,623, 총량/NNG,941,0.7411631653250108,Dovish
7,14, 대출/NNG;증가율/NNG;상승/NNG,21,0.7260136037696254,Dovish
157,315, 부정적/VAX;영향/NNG;줄/VV,472,0.7237087986782932,Dovish
17,35, 장거리미사일/NNG,52,0.7052703579476362,Dovish
107,280, 반군/NNG,387,0.5548818257382138,Dovish
227,484, 이기/VV,711,0.6810127605607644,Dovish
16,36, 인상/NNG;가능성/NNG;높/VV,52,0.6453454255730003,Dovish
21,41, 나타낸다는/VV,62,0.7437212526420554,Dovish
6,16, 높/VA;급등/NNG,22,0.5445102028272191,Dovish
2910,5793, irs/NNG,8703,0.7293974061693802,Dovish
226,444, 호소/NNG,670,0.7390949299636727,Dovish
42,84, 엄두/NNG,126,0.7260136037696254,Dovish
7,24, 미심쩍/VA,31,0.42350793553228144,Dovish
44,86, 착각/NNG,130,0.7428976410665934,Dovish
14,31, 배짱/NNG,45,0.6557542227596617,Dovish
28,67, 날려/VV,95,0.6068173404641645,Dovish
23,44, 어정쩡/NNG,67,0.7590142221227901,Dovish
1318,2557, 문구/NNG,3875,0.7484442156968059,Dovish
3,13, 한다던/XSV,16,0.33508320173982714,Dovish
11,23, 엮여/VV,34,0.6944477949100765,Dovish
10,27, 물가/NNG;상승/NNG;견인/NNG,37,0.5377878546441669,Dovish
328,630, 임금/NNG;인상/NNG,958,0.7559760699569432,Dovish
20,51, 인상/NNG;자제/NNG,71,0.5694224343291179,Dovish
9,23, 같아졌/VV,32,0.5681845594718807,Dovish
290,563, 토로/NNG,853,0.7479358617875359,Dovish
5,16, 인플레이션/NNG;위험/NNG;증가/NNG,21,0.4537585023560159,Dovish
259,602, 국채/NNG;수익률/NNG;하락/NNG,861,0.6247093799878172,Dovish
15,35, 페니메이/NNG,50,0.6222973746596789,Dovish
112,228, 숏커버링/NNG,340,0.7132765230017372,Dovish
18,39, 신용위기/NNG;완화/NNG,57,0.6701664034796543,Dovish
135,272, 언와인딩/NNG,407,0.7206752684477898,Dovish
8,16, 애당초/NNG,24,0.7260136037696253,Dovish
88,169, 혼자/NNG,257,0.7560851731565329,Dovish
5,11, 엿보인다는/VV,16,0.6600123670632958,Dovish
6,19, 자각/NNG,25,0.458534907643974,Dovish
20,41, 갈까/VV,61,0.7083059548971955,Dovish
10,23, 완화/NNG;압박/NNG,33,0.6313161771909785,Dovish
44,85, 안정/NNG;추세/NNG,129,0.7516376133144357,Dovish
48,233, 핵협상/NNG,281,0.2991300685059401,Dovish
61,132, 반빅/NNG,193,0.6710125731810175,Dovish
86,173, 경제동향간담회/NNG,259,0.7218169933432114,Dovish
3,13, 원유/NNG;재고/NNG;예상/NNG;상회/NNG,16,0.33508320173982714,Dovish
160,422, 단타/NNG,582,0.5505316426689103,Dovish
24,47, 망령/NNG,71,0.7414607017221707,Dovish
7,16, 조력자/NNG,23,0.6352619032984222,Dovish
36,74, 당할/XSV,110,0.7063916144785545,Dovish
203,393, 바쁘/VA,596,0.7500293209426664,Dovish
27,64, 켰/VV,91,0.6125739781806214,Dovish
101,224, 몰락/NNG,325,0.6547086962565373,Dovish
143,276, 유전/NNG,419,0.7523184444859161,Dovish
737,1811, 테러/NNG,2548,0.5909133362542396,Dovish
43,88, 중후반대/NNG,131,0.709513294593043,Dovish
132,255, 차라리/MAG,387,0.7516376133144356,Dovish
150,305, 들/NNG,455,0.7141117414127462,Dovish
31,62, 내보내/VV,93,0.7260136037696255,Dovish
9,21, 은도/NNG,30,0.6222973746596789,Dovish
7,19, 벗어난다는/VV,26,0.5349573922513029,Dovish
7,22, 자위/NNG,29,0.4620086569443071,Dovish
25,57, 국고채/NNG;입찰/NNG;부진/NNG,82,0.6368540383944082,Dovish
7,21, 둔화/NNG;유가/NNG;하락/NNG,28,0.4840090691797503,Dovish
12,42, 금리/NNG;인하/NNG;중단/NNG,54,0.41486491643978596,Dovish
13,25, 하락/NNG;멈추/VV;상승/NNG,38,0.7550541479204105,Dovish
8,21, 금리/NNG;서둘/VV;오르/VV,29,0.5531532219197145,Dovish
4,13, 정책/NNG;방향/NNG;잡/VV,17,0.44677760231976943,Dovish
5,11, 하락/NNG;고점/NNG,16,0.6600123670632958,Dovish
18,52, 비용/NNG;급증/NNG,70,0.5026248026097407,Dovish
22,45, 완화/NNG;조짐/NNG,67,0.7098799681303004,Dovish
27,54, 예상/NNG;줄/VV,81,0.7260136037696253,Dovish
5,11, 마이너스/NNG;감소/NNG,16,0.6600123670632958,Dovish
25,58, 불확실성/NNG;하락/NNG,83,0.6258737963531253,Dovish
645,1255, 삭제/NNG,1900,0.7462609951098141,Dovish
19,59, 금리/NNG;인상/NNG;우려/NNG;약화/NNG,78,0.46760198208891135,Dovish
6,14, 유가/NNG;소폭/MAG;하락/NNG,20,0.622297374659679,Dovish
219,440, 가담/NNG,659,0.7227135419343089,Dovish
796,1655, 경색/NNG,2451,0.6983768321457665,Dovish
11,31, 공허/NNG,42,0.5152354607397341,Dovish
341,722, 롱플레이/NNG,1063,0.6857912434499785,Dovish
142,273, 든다/VV,415,0.7552668991596103,Dovish
174,346, 선점/NNG,520,0.7302102141960394,Dovish
40,94, 기대/NNG;인플레이션/NNG;하락/NNG,134,0.6178839181018089,Dovish
10,21, 둔화/NNG;유가/NNG;급락/NNG,31,0.6914415273996433,Dovish
9,22, 고물가/NNG;저성장/NNG,31,0.5940111303569663,Dovish
22,44, 얽힌/VV,66,0.7260136037696254,Dovish
9,19, 유가/NNG;하락/NNG;경기/NNG;둔화/NNG,28,0.687802361465961,Dovish
65,145,동반/NNG,210,0.6509087482072503,Dovish
110,214, 단절/NNG,324,0.7463691253706429,Dovish
17,35, 생리/NNG,52,0.7052703579476362,Dovish
29,63, 여길/VV,92,0.6683934764863217,Dovish
23,46, 절제/NNG,69,0.7260136037696253,Dovish
1016,1955, 엔원/NNG,2971,0.7546085129718051,Dovish
19,46, 원달러/NNG;상승/NNG;압력/NNG,65,0.5997503683314297,Dovish
6,21, 인플레이션/NNG;약화/NNG,27,0.41486491643978596,Dovish
669,1314, 금융시장/NNG;불안/NNG,1983,0.7392741262129062,Dovish
