ngram,total_count,up_count,down_count,polarity_score,polarity
선임/NNG,10008,6346,2457,2.582824582824583,Hawkish
고객가치/NNG,60,31,22,1.4090909090909092,Hawkish
수익증권/NNG,508,257,173,1.4855491329479769,Hawkish
보다/MAG,11226,5597,3897,1.4362329997433922,Hawkish
투자/NNG,126418,64708,41325,1.5658318209316395,Hawkish
양상/NNG,9651,4537,3385,1.3403249630723781,Hawkish
매몰/NNG,228,122,65,1.876923076923077,Hawkish
금전신탁/NNG,428,220,131,1.6793893129770991,Hawkish
신뢰/NNG,8932,4357,3233,1.347664707701825,Hawkish
자신/NNG,19918,9702,6750,1.4373333333333334,Hawkish
근모/NNG,1570,804,539,1.4916512059369202,Hawkish
횡보장/NNG,73,35,16,2.1875,Hawkish
주/NNG,49703,23294,17367,1.3412794380146253,Hawkish
배경/NNG,8028,3880,2849,1.3618813618813619,Hawkish
동향/NNG,21265,10525,6816,1.5441607981220657,Hawkish
화/NNG,2293,1007,739,1.3626522327469552,Hawkish
발표문/NNG,938,500,326,1.5337423312883436,Hawkish
중한/NNG,41,34,3,11.333333333333334,Hawkish
눈보라/NNG,19,7,4,1.75,Hawkish
긴축/NNG,22622,11350,7043,1.611529177907142,Hawkish
물가/NNG,112308,52877,38893,1.3595505617977528,Hawkish
투자자문/NNG,469,214,156,1.3717948717948718,Hawkish
견조/NNG,9702,4470,3348,1.3351254480286738,Hawkish
인플레이션/NNG,53407,25515,18750,1.3608,Hawkish
재차/NNG,47,36,8,4.5,Hawkish
만/NNG,547,295,178,1.6573033707865168,Hawkish
제조업/NNG,23814,11071,8218,1.3471647602823071,Hawkish
비제조업/NNG,1763,965,558,1.7293906810035842,Hawkish
건설/NNG,19385,9347,6814,1.3717346639272088,Hawkish
생산성/NNG,3672,1731,1252,1.3825878594249201,Hawkish
단위/NNG,7296,4447,1953,2.277009728622632,Hawkish
노동/NNG,4783,2243,1700,1.3194117647058823,Hawkish
실업수당청구/NNG,3807,1773,1283,1.381917381137958,Hawkish
신용/NNG,22972,11075,8253,1.3419362656003877,Hawkish
양호/NNG,16257,7515,5719,1.3140409162440987,Hawkish
육류/NNG,260,144,68,2.1176470588235294,Hawkish
타임/NNG,648,317,227,1.39647577092511,Hawkish
종목/NNG,24171,11652,8471,1.3755164679494747,Hawkish
콜/NNG,11499,6614,3449,1.9176572919686865,Hawkish
금리/NNG;인상/NNG;긴축/NNG,152,85,34,2.5,Hawkish
연체율/NNG,3796,1808,1348,1.3412462908011868,Hawkish
신용등급/NNG,24281,11111,8541,1.3009015337782461,Hawkish
전략/NNG,20487,10474,6756,1.5503256364712847,Hawkish
원년/NNG,204,101,68,1.4852941176470589,Hawkish
최종/NNG,7185,3981,2190,1.8178082191780822,Hawkish
외형/NNG,1085,535,383,1.3968668407310705,Hawkish
변동/NNG,26635,13799,8663,1.5928662126284197,Hawkish
공통점/NNG,354,157,120,1.3083333333333333,Hawkish
정태/NNG,246,117,82,1.4268292682926829,Hawkish
발/NNG,11882,6934,3305,2.09803328290469,Hawkish
축소/NNG,47854,22525,15835,1.4224818440164193,Hawkish
고정이하여신/NNG,162,85,48,1.7708333333333333,Hawkish
대손충당금비율/NNG,82,48,24,2.0,Hawkish
자산/NNG;건전성/NNG;개선/NNG,111,51,30,1.7,Hawkish
생산성/NNG;향상/NNG,339,157,120,1.3083333333333333,Hawkish
건전성/NNG;높/VA,44,21,14,1.5,Hawkish
수대/NNG,90,49,31,1.5806451612903225,Hawkish
원달러/NNG,12399,5633,4226,1.332938949361098,Hawkish
이평선/NNG,2558,1420,739,1.9215155615696888,Hawkish
하회/NNG,10561,4950,3625,1.3655172413793104,Hawkish
감안/NNG,20206,9775,7174,1.3625592417061612,Hawkish
당위/NNG,347,165,112,1.4732142857142858,Hawkish
기조/NNG,37110,17493,12559,1.392865674018632,Hawkish
반전/NNG,10150,4904,3589,1.3663973251602117,Hawkish
비우호적/VAX,661,360,187,1.9251336898395721,Hawkish
선행/NNG,7407,4208,2117,1.987718469532357,Hawkish
국내외/NNG,9564,4634,3402,1.3621399176954732,Hawkish
지닐/VV,25,14,8,1.75,Hawkish
판단/NNG,43552,22041,14551,1.5147412548965706,Hawkish
절상/NNG,13073,6470,4225,1.5313609467455622,Hawkish
변화/NNG,31889,15957,10334,1.544126185407393,Hawkish
수급/NNG,23713,11549,7898,1.462268928842745,Hawkish
매수주체/NNG,730,363,252,1.4404761904761905,Hawkish
현물/NNG,5893,2659,2011,1.3222277473893584,Hawkish
편입비중/NNG,381,212,124,1.7096774193548387,Hawkish
상향/NNG,25556,11693,8875,1.3175211267605633,Hawkish
우호적/VAX,7352,3630,2350,1.5446808510638297,Hawkish
불구/NNG,15700,8229,5437,1.513518484458341,Hawkish
모멘텀/NNG,12440,5766,4276,1.3484565014031806,Hawkish
시황/NNG,2043,1126,608,1.8519736842105263,Hawkish
투신/NNG,6596,4027,1781,2.261089275687816,Hawkish
주식형/NNG,2538,1578,672,2.3482142857142856,Hawkish
잔고/NNG,4585,2662,1378,1.9317851959361394,Hawkish
급락장/NNG,240,113,86,1.313953488372093,Hawkish
패턴/NNG,2682,1437,796,1.8052763819095476,Hawkish
긍정성/NNG,18,13,3,4.333333333333333,Hawkish
매력/NNG,14856,7492,4902,1.5283557731538149,Hawkish
부각/NNG,14114,6609,4993,1.3236531143601042,Hawkish
철강/NNG,6060,2891,2070,1.3966183574879227,Hawkish
제약/NNG,4554,2113,1574,1.3424396442185516,Hawkish
증권/NNG,59271,34942,16356,2.136341403766202,Hawkish
순매수/NNG,40763,19989,13156,1.5193827911219215,Hawkish
지표/NNG;부진/NNG;금리/NNG;인상/NNG,38,13,4,3.25,Hawkish
경기/NNG;둔화/NNG;우려/NNG;완화/NNG,67,44,18,2.4444444444444446,Hawkish
금리/NNG;인상/NNG;유보/NNG,68,36,25,1.44,Hawkish
인플레이션/NNG;압박/NNG,224,107,78,1.3717948717948718,Hawkish
물가/NNG;인상/NNG,195,99,63,1.5714285714285714,Hawkish
우려/NNG;높/VV,211,97,72,1.3472222222222223,Hawkish
경기선/NNG,222,176,29,6.068965517241379,Hawkish
채권/NNG,113217,55439,38785,1.4293928064973571,Hawkish
성장형/NNG,601,309,226,1.3672566371681416,Hawkish
안정성/NNG,5074,2391,1810,1.3209944751381215,Hawkish
장형/NNG,105,57,36,1.5833333333333333,Hawkish
안정형/NNG,394,190,143,1.3286713286713288,Hawkish
프라임/NNG,580,300,180,1.6666666666666667,Hawkish
마이다스/NNG,102,43,31,1.3870967741935485,Hawkish
화운/NNG,20,12,8,1.5,Hawkish
혼합/NNG,2278,1350,638,2.115987460815047,Hawkish
상위/NNG,5160,2993,1413,2.1181882519462136,Hawkish
비중/NNG,27312,12934,9536,1.3563338926174497,Hawkish
대투/NNG,222,112,75,1.4933333333333334,Hawkish
채권형/NNG,1910,1266,437,2.897025171624714,Hawkish
막강국/NNG,19,13,3,4.333333333333333,Hawkish
공채/NNG,374,174,124,1.403225806451613,Hawkish
지표채권/NNG,228,117,76,1.5394736842105263,Hawkish
장기물/NNG,16535,7752,5389,1.4384858044164037,Hawkish
금융채/NNG,3975,3241,505,6.417821782178218,Hawkish
회사채/NNG,55682,34573,13880,2.490850144092219,Hawkish
대조/NNG,1495,736,498,1.4779116465863453,Hawkish
기/VA,147,79,55,1.4363636363636363,Hawkish
총수탁고/NNG,38,24,11,2.1818181818181817,Hawkish
혼합형/NNG,2460,1337,765,1.7477124183006536,Hawkish
주식자금/NNG,714,317,237,1.3375527426160339,Hawkish
용지/NNG,1408,1059,248,4.270161290322581,Hawkish
구분/NNG,3556,2734,563,4.856127886323268,Hawkish
내용/NNG,20509,9704,7212,1.3455352190793122,Hawkish
대내외/NNG,6762,3222,2323,1.3869995695221695,Hawkish
국고채/NNG,107332,63084,28371,2.223538119911177,Hawkish
상단/NNG,5810,2739,1869,1.4654895666131622,Hawkish
물/NNG,30426,14829,9495,1.5617693522906793,Hawkish
발행/NNG,81850,38288,28589,1.3392563573402358,Hawkish
단기물/NNG,10355,5043,3474,1.4516407599309153,Hawkish
통안채/NNG,27440,18238,5905,3.0885690093141407,Hawkish
무보증/NNG,4933,3694,788,4.687817258883249,Hawkish
금리/NNG;하락/NNG;제한/NNG,172,92,48,1.9166666666666667,Hawkish
금리/NNG;지나치/VA;떨어/VV,15,12,3,4.0,Hawkish
채권시장/NNG,58873,27171,20084,1.352867954590719,Hawkish
금융안정보고서/NNG,585,267,199,1.3417085427135678,Hawkish
기인/NNG,2123,1110,698,1.5902578796561604,Hawkish
장기투자기관/NNG,1859,860,605,1.421487603305785,Hawkish
동일/NNG,5833,2760,2039,1.3536047081902893,Hawkish
위안/NNG,37946,17423,12965,1.343848823756267,Hawkish
미사일/NNG,2501,1295,774,1.67312661498708,Hawkish
발사/NNG,2661,1288,954,1.350104821802935,Hawkish
실험/NNG,868,443,256,1.73046875,Hawkish
위/NNG,12187,6237,3941,1.5825932504440496,Hawkish
횡보/NNG,3039,1554,945,1.6444444444444444,Hawkish
게재/NNG,812,413,281,1.4697508896797153,Hawkish
됩니다/XSV,1184,561,412,1.3616504854368932,Hawkish
외환시장/NNG;환율/NNG;상승/NNG,25,11,7,1.5714285714285714,Hawkish
지/NNG,2662,2128,359,5.927576601671309,Hawkish
인플레이션/NNG;경기/NNG;회복/NNG,25,13,7,1.8571428571428572,Hawkish
경제/NNG;견고/NNG;성장/NNG,36,18,9,2.0,Hawkish
경기/NNG;회복/NNG;둔화/NNG,307,140,101,1.386138613861386,Hawkish
인플레이션/NNG;억제/NNG,1078,557,354,1.573446327683616,Hawkish
인플레이션/NNG;완화/NNG,160,92,46,2.0,Hawkish
절/NNG,858,449,258,1.7403100775193798,Hawkish
폴/NNG,1713,816,589,1.3853989813242784,Hawkish
안화/NNG,32,17,9,1.8888888888888888,Hawkish
완만/NNG,10231,4727,3549,1.3319244857706396,Hawkish
약화/NNG,19817,9143,6900,1.325072463768116,Hawkish
펀더멘털/NNG,9977,5044,3231,1.561126586196224,Hawkish
6자회담/NNG,1198,604,438,1.3789954337899544,Hawkish
저점/NNG;뚫/VV;내리/VV,15,8,6,1.3333333333333333,Hawkish
하락/NNG;제한적/VAX,301,143,102,1.4019607843137254,Hawkish
달러원/NNG;바닥/NNG,22,8,5,1.6,Hawkish
전망/NNG;저점/NNG,22,11,7,1.5714285714285714,Hawkish
해운/NNG,2028,1026,694,1.478386167146974,Hawkish
구주/NNG,70,44,17,2.588235294117647,Hawkish
변경/NNG,9415,4537,3261,1.3912910150260656,Hawkish
화주/NNG,65,39,19,2.0526315789473686,Hawkish
미/NNG;경기/NNG;둔화/NNG;우려/NNG,22,14,5,2.8,Hawkish
이익/NNG;전망/NNG;밝/VA,16,9,5,1.8,Hawkish
둔화/NNG;조짐/NNG,379,181,124,1.4596774193548387,Hawkish
호황/NNG;불황/NNG,22,12,7,1.7142857142857142,Hawkish
대여금/NNG,117,75,27,2.7777777777777777,Hawkish
고이/NNG,36,18,10,1.8,Hawkish
차트/NNG,1846,1279,345,3.7072463768115944,Hawkish
속하/VV,480,224,163,1.3742331288343559,Hawkish
황소/NNG,89,55,30,1.8333333333333333,Hawkish
현찰/NNG,65,33,21,1.5714285714285714,Hawkish
레인지/NNG,3262,1593,1004,1.5866533864541832,Hawkish
스틸/NNG,352,172,118,1.4576271186440677,Hawkish
락/NNG,130,66,37,1.7837837837837838,Hawkish
쓰/NNG,174,75,54,1.3888888888888888,Hawkish
번지/NNG,584,364,145,2.510344827586207,Hawkish
앤/NNG,2152,1039,729,1.4252400548696844,Hawkish
함/XSV,16600,7785,5807,1.3406233855691407,Hawkish
상회/NNG,12461,6015,4195,1.4338498212157331,Hawkish
상관관계/NNG,1672,813,593,1.3709949409780775,Hawkish
이동평균/NNG,1198,660,319,2.0689655172413794,Hawkish
비록/MAG,1242,600,438,1.36986301369863,Hawkish
기점/NNG,1937,1078,557,1.9353680430879712,Hawkish
도래/NNG,5678,2782,1917,1.451225873761085,Hawkish
인플레이션/NNG;압력/NNG;증가/NNG,157,82,54,1.5185185185185186,Hawkish
인플레이션/NNG;우려/NNG,1675,829,572,1.4493006993006994,Hawkish
예상/NNG;상회/NNG,863,423,298,1.419463087248322,Hawkish
매크로/NNG,1721,824,564,1.4609929078014185,Hawkish
승부/NNG,737,331,253,1.308300395256917,Hawkish
레드오션/NNG,36,23,6,3.8333333333333335,Hawkish
붉/VA,165,99,49,2.020408163265306,Hawkish
출혈/NNG,295,150,109,1.3761467889908257,Hawkish
바탕/NNG,6329,3240,1997,1.6224336504757135,Hawkish
역발상/NNG,279,138,105,1.3142857142857143,Hawkish
재발견/NNG,39,19,10,1.9,Hawkish
북한리스크/NNG,2699,1348,790,1.7063291139240506,Hawkish
소프트패치/NNG,332,185,101,1.8316831683168318,Hawkish
불명확/NNG,168,80,54,1.4814814814814814,Hawkish
쌍둥이적자/NNG,273,151,67,2.253731343283582,Hawkish
북핵/NNG,1899,1011,549,1.8415300546448088,Hawkish
대북/NNG,2077,972,698,1.3925501432664757,Hawkish
산발/NNG,105,51,34,1.5,Hawkish
절하/NNG,10402,5216,3250,1.604923076923077,Hawkish
고준/NNG,165,84,57,1.4736842105263157,Hawkish
교차판매/NNG,127,73,37,1.972972972972973,Hawkish
주가지수연동/NNG,248,136,85,1.6,Hawkish
실세/NNG,1045,522,373,1.3994638069705094,Hawkish
베스트/NNG,898,541,251,2.1553784860557768,Hawkish
과열/NNG,7150,3217,2451,1.3125254997960016,Hawkish
전면전/NNG,199,85,62,1.3709677419354838,Hawkish
월중/NNG,750,597,96,6.21875,Hawkish
유효/NNG,5671,2861,1877,1.524240809802877,Hawkish
선물환/NNG,2948,1426,1028,1.38715953307393,Hawkish
은행주의/NNG,373,166,124,1.3387096774193548,Hawkish
다로/NNG,29,16,8,2.0,Hawkish
포화/NNG,274,130,97,1.3402061855670102,Hawkish
단기간/NNG,3809,1814,1337,1.356768885564697,Hawkish
중립/NNG,6664,3385,2114,1.6012298959318827,Hawkish
가정/NNG,4595,2231,1547,1.4421460892049127,Hawkish
잔액/NNG,11295,5605,3684,1.521444082519001,Hawkish
규모의경제/NNG,176,80,58,1.3793103448275863,Hawkish
주주/NNG,2590,1282,908,1.4118942731277533,Hawkish
