up_count,down_count,ngram,total_count,polar_score,polarity
3170,122, 로/NNG,3292,37.72890367130677,Hawkish
47950,28834, 국고채/NNG,76784,2.414673808750332,Hawkish
477,434, 바이백/NNG,911,1.5958916543691766,Hawkish
2310,150, 의/NNG,2460,22.361218996104462,Hawkish
21450,23370, 인플레이션/NNG,44820,1.3327335730302496,Hawkish
733,654, 리라/NNG,1387,1.6274249894897108,Hawkish
4221,4419, 단기물/NNG,8640,1.386966925327716,Hawkish
42831,44765, 채권/NNG,87596,1.3892947018008186,Hawkish
440,464, 재정거래/NNG,904,1.3769223519768758,Hawkish
6694,7086, 매력/NNG,13780,1.3717005542291483,Hawkish
148,127, 펀/NNG,275,1.6921261946126704,Hawkish
151,128, 텔/NNG,279,1.7129383463939598,Hawkish
1441,1498, 고유가/NNG,2939,1.3967765060507744,Hawkish
14502,6462, 다/MAG,20964,3.2586348752296836,Hawkish
419,310, 만일/NNG,729,1.9625787095449876,Hawkish
617,360, 그러/NNG,977,2.4886132973658825,Hawkish
3681,3579, 이러/NNG,7260,1.4934093743928423,Hawkish
366,262, 수요측면/NNG,628,2.0284044196922357,Hawkish
116,83, 기우/NNG,199,2.0293392298138926,Hawkish
5459,5260, 보다/MAG,10719,1.5069613167218194,Hawkish
9352,10205, 감안/NNG,19557,1.3306573684377339,Hawkish
172,21, 윤여/NNG,193,11.892794271273864,Hawkish
8319,3087, 추이/NNG,11406,3.912994603018797,Hawkish
36,0, 일통/NNG,36,inf,Hawkish
302,31, 채/VV,333,14.145555376672702,Hawkish
14610,5192, 통안채/NNG,19802,4.085924018133369,Hawkish
46017,4854, 자료/NNG,50871,13.76554099903867,Hawkish
6731,60, 좌/NNG,6791,162.89325223244495,Hawkish
7565,383, 우/NNG,7948,28.680380744215228,Hawkish
20493,21146, 판단/NNG,41639,1.4071878163294176,Hawkish
18756,16586, 주/NNG,35342,1.6420006212833829,Hawkish
14631,15292, 변화/NNG,29923,1.3892630181471868,Hawkish
146,161, 될수록/XSV,307,1.3167451695697556,Hawkish
4015,483, 목/NNG,4498,12.070164054389425,Hawkish
129,104, 다행히/MAG,233,1.8010722093515708,Hawkish
14295,15955, 소비자/NNG,30250,1.3009544927466994,Hawkish
249,260, 오일쇼크/NNG,509,1.3905952872202825,Hawkish
383,386, 고물가/NNG,769,1.4407420219884275,Hawkish
18302,17622, 채권시장/NNG,35924,1.5080582199740873,Hawkish
100,95, 비대칭/NNG,195,1.5284496921465798,Hawkish
16,11, 불행히/MAG,27,2.1120395746025467,Hawkish
1473,1108, 대/NNG,2581,1.9303574699506465,Hawkish
72,23, 만/VV,95,4.545476475775046,Hawkish
300,323, 모른다/VV,623,1.3486320813058057,Hawkish
454,177, 게다가/MAG,631,3.7244087696204513,Hawkish
197,194, 분명/NNG,391,1.4744812365218165,Hawkish
784,786, 시차/NNG,1570,1.4483324818203214,Hawkish
2187,2210, 존재/NNG,4397,1.4369156121666702,Hawkish
1282,465, 요약/NNG,1747,4.0032233979899345,Hawkish
180,174, 생산능력/NNG,354,1.5020971112475008,Hawkish
1406,1546, 생산성/NNG,2952,1.320537033505942,Hawkish
33,22, 외생/NNG,55,2.1780408113088763,Hawkish
610,479, 자/NNG,1089,1.8491369448829706,Hawkish
13,8, 종속변수/NNG,21,2.359544212251283,Hawkish
343,317, 가격변수/NNG,660,1.5711209217222808,Hawkish
228,78, 현/NNG,306,4.24438722203781,Hawkish
2590,505, 어떠/NNG,3095,7.447030628765663,Hawkish
384,411, 상관/NNG,795,1.356638558868789,Hawkish
120,28, 공히/MAG,148,6.222973746596789,Hawkish
93,90, 불능/NNG,183,1.5004281144572258,Hawkish
520,443, 유가상승/NNG,963,1.7044111691205652,Hawkish
146,117, 다소간/MAG,263,1.8119313871857319,Hawkish
19000,20390, 순매수/NNG,39390,1.353041537187139,Hawkish
3523,2671, 누적/NNG,6194,1.915197249030618,Hawkish
1590,666, 장단기/NNG,2256,3.466551441422536,Hawkish
2020,2182, 역전/NNG,4202,1.344223171049169,Hawkish
3287,219, 조원/NNG,3506,21.79366863553204,Hawkish
2932,2268, 일드커브/NNG,5200,1.877135702162735,Hawkish
13,10, 지켜진/VV,23,1.887635369801026,Hawkish
74,74, 기채/NNG,148,1.4520272075392509,Hawkish
2515,481, 지/NNG,2996,7.5922004718528395,Hawkish
1480,1433, 횡보/NNG,2913,1.499651268079617,Hawkish
